Num,Alias,interests,IVIS,Stats,Maths,Art,Learn,Prog,Graphics,HCI,UX,Music,Books,games,Sports,Cooking,programming,Creative,Photography,Society
1,Aldor,Visual design & filmmaking,7,3,3,9,6,2,1,4,8,,,,,,,1,1,
2,Aragorn,Cooking & physical activity & running & art,5,4,3,6,7,3,1,4,8,,,,1,1,,1,,
3,Arwen,Nothing,3,3,3,3,8,8,3,3,3,,,,,,,,,
4,Balin,Graphic design & 3D modeling,3,4,4,6,8,2,1,2,7,,,,,,1,1,,
5,Bereg,Science & sports & fashion & travel,3,5,6,8,6,3,5,3,5,,,,1,,,,,
6,Bifur,Traveling & graphic illustration & events/hackatons & the Crash B&icoot on PS4 game release!,4,4,5,6,10,7,7,6,7,,,1,,,1,1,,
7,Bilbo,JavaScript & freelance projects & reading content related to design process & especially typography,6,5,8,7,8,7,7,7,8,,,,,,1,1,,
8,Bofur,Nothing,4,4,6,5,7,7,3,3,2,,,,,,,,,
9,Bombadil,Travel & sports & running & yoga & cycling & photography & coffee & gender equality & diversity & education & human rights,4,6,6,2,6,5,1,5,8,,,,1,,,,1,1
10,Bombur,Football & painting & illustrating & programming.,1,4,5,10,7,4,2,3,6,,,,1,,1,1,,
11,Borin,Reading & music & arts & bikes & travel & technology & programming & humor,2,4,2,6,6,2,1,4,10,1,1,,1,,1,1,,
12,Boromir,Web Development & Competitive Programming & Data Science (Machine learning),3,5,5,1,7,8,2,6,5,,,,,,1,,,
13,Bounder,Arts & culture & education & science & technology,3,9,9,3,10,10,3,3,9,,,,,,,1,,1
14,Celeborn,Digital democracy & digital literacy & accessibility & usability & tv-shows & travelling & cooking food,7,6,5,6,8,4,1,6,7,,1,,,1,,,,1
15,Damrod,Nothing,3,2,5,6,7,1,2,3,8,,,,,,,,,
16,Deagol,Reading & magic(illusions) & training & nature,1,3,3,5,8,5,1,1,2,,1,,1,,,,,
17,Denethor,Nothing,7,8,6,2,8,9,6,3,6,,,,,,,,,
18,Dorlas,Nothing,4,4,4,6,5,4,1,5,6,,,,,,,,,
19,Dwalin,Music & dance & traveling,3,3,6,7,7,6,1,5,5,1,,,1,,,,,
20,Eldarion,Play music & watch sports,3,4,9,8,8,3,2,8,9,1,,,1,,,,,
21,Elendil,Being creative & Illustrations & 3D-models & consuming stories in the forms of books & games & movies,5,3,5,6,7,7,4,6,5,,1,1,,,1,1,,
22,Elendur,Nothing,3,3,5,2,7,5,2,6,9,,,,,,,,,
23,Elrond,Skiing & Computer Games & Working out at the gym & Programming,3,10,8,1,6,9,4,3,3,,,1,1,,1,,,
24,Eomer,Art & music (as a hobby) & machine learning (academically),7,9,7,3,9,8,7,6,1,1,,,,,1,1,,
25,Eothain,Music & programming & computer graphics & old console video games ,5,5,7,4,9,9,8,4,3,1,,1,,,1,1,,
26,Eowyn,Photography & Traveling,2,4,4,4,4,2,6,4,4,,,,,,,,1,
27,Faramir,Sketching & Hacking stuff & Cooking,5,4,8,7,9,8,5,6,6,,,,,1,1,1,,
28,Ferny,Graphic design & photography & bartending,5,2,3,4,8,5,3,4,1,,,,,,,1,1,
29,Fili,Programming & android application development,5,5,5,4,5,5,4,5,5,,,,,,1,,,
30,Freda,Startups & arts especially photography,3,3,9,7,7,2,2,3,8,,,,,,,1,1,
31,Frodo,Graphics & spend time with friends & climb,3,3,4,4,6,5,3,4,3,,,,1,,,1,,
32,Galadriel,Programming & basketball & enjoy equestrian sports,7,5,6,7,9,8,7,8,5,,,,1,,1,1,,
33,Gamgee,Playing computer games & hanging with my girlfriend,2,4,6,2,7,6,2,4,3,,,1,,,,,,
34,Gandalf,Nothing,4,6,8,1,9,8,6,5,5,,,,,,,,,
35,Gimli,Diving & wildlife & painting,3,3,4,9,7,1,1,1,1,,,,1,,,1,,
36,Gollum,Inherently curious & basically everything that crosses my path & code & passionate about music & cooking,4,2,2,4,9,1,1,1,6,1,,,,1,1,1,,1
37,Gorbag,Programming & video games & movies & tv-series & read book & started baking cookies,5,2,5,5,9,7,3,6,3,,1,1,,1,1,,,
38,Grimbold,Cooking & eating & enjoying beer,4,4,7,5,9,6,1,1,4,,,,,1,,,,
39,Grishnakh,Machine Learning & drinking beer,5,8,6,2,7,8,5,4,3,,,,,,1,,,
40,Haldir,Kitesurfing & Freediving & Surfing & Skiing & Product Development ,3,3,4,7,8,2,1,2,2,,,,1,,,1,,
41,Haleth,HCI & front end programming & reading & watching youtube ,2,3,3,4,6,3,1,4,5,,1,,,,1,,,
42,Hama,C++ & program softeware,7,8,8,7,9,8,8,7,8,,,,,,1,,,
43,Hardang,Nothing,2,4,7,9,7,2,2,3,8,,,,,,,,,
44,Idril,Nothing,6,3,3,8,10,5,3,5,5,,,,,,,,,
45,Irolas,Astronomy & virtual reality & gaming & music,5,4,5,2,7,7,4,6,5,1,,1,,,,1,,
46,Isildur,Game development & creating music & creative work,4,5,5,4,8,8,3,5,5,1,,,,,1,1,,
47,Kili,Watch documentaries & badminton & food,3,5,5,1,6,6,3,5,8,,1,,1,1,,,,
48,Legolas,Developing web applications & football & hunting & woodcrafting,4,4,4,7,8,8,4,4,4,,,,1,,1,,,
49,Lindir,Photography & to play music & good design & functional tecnology,2,2,5,2,7,4,1,4,4,1,,,,,,1,1,
50,Lurtz,Rock climbing & reading & drinking coffee,3,6,7,6,8,8,3,4,5,,1,,1,,,,,
51,Madril,Photography & music & new technology / technology related services/products,4,4,5,4,9,5,2,7,5,1,,,,,,,1,
52,Maiar,Programming & painting & sketching & football,6,5,5,7,7,4,2,5,6,,,,1,,1,1,,
53,Mauhur,Progress & programming & reading & socializing & drawing & computer games ,7,2,5,8,9,6,2,6,7,,1,1,,,1,1,,
54,Merry,Exploring the world & face challenges & drawing & cooking,5,6,7,8,7,6,4,4,8,,,,,1,,1,,
55,Morwen,Sports & video games & music,3,5,4,3,10,6,2,7,5,1,,1,1,,1,,,
56,Nessa,Design & incorporating environmental beneficial media technology artefacts in homes & businesses & photograph & film for fun,1,1,1,2,2,1,1,1,2,,,,,,,1,1,
